dataset,recording,location,id,width,TPlat,PAassym,fr,frLog,ratio10ms,ratio10msLog,amp,PTratio,RepSlope,RecSlope,Duration,BurstRatio,BurstRatioLog,DistFromGCtop,DistFromGCbot,ClusterDG,DistanceDG,ClusterCA13,DistanceCA13
1,1,CA1,241,0.14,0.23333333,0.68895668,6.55538072,0.81659792,0.01445286,-1.84004632,0.51211536,0.67471218,0.10013183,-0.01585013,0.33333333,0.03995206,-1.39846085,-43,79,,0,3,8.88513216913927
1,1,CA1,243,0.19,0.56666667,-0.19165494,2.11474778,0.32525858,0.00061312,-3.21245396,0.47261223,0.24659973,0.07118151,-0.00551646,0.7,0.00905879,-2.04292973,-47,83,,0,1,13.3187968586118
1,1,CA1,251,0.34666667,0.63333333,-0.19658644,6.96585478,0.84297442,0.17612634,-0.7541757,0.17965858,0.06091323,0.01354968,-0.00142417,1.1,0.1913055,-0.71827256,-69,105,,0,2,9.15560981733906
1,1,CA1,252,0.15,0.26666667,0.76955587,3.22026029,0.50789098,0.05462608,-1.26259994,0.4476462,0.07845896,0.09435504,-0.00020758,0.43333333,1.53666375,0.18657885,-74,110,,0,3,6.19391869663333
1,1,CA1,260,0.20333333,0.53333333,0.65344143,8.47995702,0.92839365,0.01686161,-1.77310088,0.43237817,0.40572679,0.04895799,-0.00672767,0.63333333,0.02575771,-1.58909282,-90,126,,0,1,1.92434818727497
1,1,CA1,339,0.27666667,0.56666667,0.87169093,1.34460792,0.12859566,0.22800194,-0.64206145,0.25191629,0.34594339,0.02383129,-0.00324806,0.76666667,3.34728033,0.52469209,-74,110,,0,2,1.21530224628795
1,1,DG,202,0.23,0.3,0.97934544,4.45471258,0.64881969,0.39991322,-0.39803424,0.35340285,0.30620342,0.06392638,-0.00312464,0.53333333,5.81650571,0.76466216,34,2,3,5.16617567172253,,0
1,1,DG,205,0.15333333,0.2,1.02098846,0.67558969,-0.17031698,0.00298805,-2.52461246,0.41482842,0.82914126,0.08910937,-0.01317606,0.46666667,0.40526849,-0.39225716,32,4,2,11.9717148701197,,0
1,1,DG,207,0.32666667,0.53333333,1.10308886,3.63400362,0.56038536,0.24278625,-0.61477591,0.24262023,0.3491624,0.01788218,-0.0026206,0.73333333,11.92504259,1.07645994,30,6,3,2.11692367742135,,0
1,1,DG,210,0.20666667,0.33333333,0.92598587,2.98583664,0.47506604,0.04382556,-1.35827251,0.45666009,0.47353598,0.06361672,-0.00742869,0.46666667,1.29895308,0.11359346,29,7,2,1.84321237309032,,0
1,1,DG,213,0.31333333,0.6,1.04264462,1.59674185,0.20323471,0.18324607,-0.73696532,0.35152006,0.33657146,0.02059901,-0.00419007,0.8,5.45540797,0.73682723,26,10,3,1.06820268260585,,0
1,1,DG,214,0.28,0.6,0.09173445,21.30916594,1.32856645,0.0607054,-1.2167727,0.32723463,0.42017037,0.02643244,-0.00522497,0.8,0.16100899,-0.79314988,26,10,4,2.34153799441445,,0
1,1,DG,215,0.25666667,0.5,-0.44210866,3.12211136,0.49444839,0.13591229,-0.86674128,0.21034844,0.1779262,0.02615643,-0.00125035,0.66666667,8.23817292,0.9158309,30,6,3,4.13077042466101,,0
1,1,DG,216,0.26,0.56666667,0.79034489,3.43520089,0.53595214,0.23177456,-0.63493424,0.24911593,0.24450797,0.03954038,-0.00240952,0.83333333,12.06405694,1.08149338,23,13,3,1.20329581106496,,0
1,1,DG,217,0.37666667,0.4,0.73635906,2.96355772,0.47181339,0.14015234,-0.85339965,0.28262043,0.33277413,0.03203744,-0.00372526,0.9,6.05381166,0.78202891,21,15,3,2.97240683278454,,0
1,1,DG,218,0.23666667,0.53333333,0.12154711,32.28084966,1.50894496,0.14125252,-0.8500038,0.25288889,0.34301648,0.0284607,-0.00373416,0.7,0.18461835,-0.73372515,21,15,4,4.18867682595523,,0
1,1,DG,219,0.27666667,0.56666667,1.09709048,0.32136324,-0.49300381,0.02008032,-1.69722934,0.30044007,0.35545343,0.03375701,-0.0038781,0.83333333,1.17820324,0.07122021,21,15,3,4.81586196755657,,0
1,1,DG,223,0.20333333,0.5,0.8670854,9.60038716,0.98228875,0.00652013,-2.18574363,0.43258941,0.42096278,0.06047068,-0.00814265,0.66666667,0.00293617,-2.53221914,17,19,4,6.38119693721651,,0
1,1,DG,224,0.27333333,0.56666667,1.06866336,1.33032946,0.12395921,0.11972855,-0.92180227,0.28761089,0.37287712,0.02897702,-0.00478932,0.76666667,10.63651591,1.02679939,15,21,3,0.695491884821451,,0
1,1,DG,225,0.20666667,0.23333333,1.03598189,32.70407201,1.51460183,0.29287037,-0.53332456,0.44756761,0.78009576,0.0880918,-0.01275519,0.5,0.97148808,-0.01256252,14,22,2,5.48159024565694,,0
1,1,DG,230,0.24333333,0.33333333,1.02082372,3.69368277,0.56745959,0.00331415,-2.47962834,0.29841444,0.57766372,0.04613042,-0.00663098,0.53333333,0.0789533,-1.10262969,5,31,4,6.19170582114872,,0
1,1,DG,233,0.16333333,0.2,1.04792511,25.55749219,1.40751824,0.30183449,-0.52023113,0.47954971,0.63498199,0.10044342,-0.01047768,0.4,1.29294986,0.11158168,1,35,2,3.28017112489386,,0
1,1,DG,335,0.31666667,0.6,1.07775199,2.5903819,0.4133638,0.20064725,-0.69756679,0.30624551,0.39886552,0.02380482,-0.00427782,0.86666667,7.62243286,0.88209361,18,18,3,1.41041177926519,,0
1,2,CA1,256,0.19,0.3,1.03903043,14.92486076,1.17391029,0.33665969,-0.47280888,0.34186786,0.48162606,0.05574858,-0.00688363,0.5,3.49876361,0.5439146,-60,96,,0,3,3.75398835358305
1,2,CA1,257,0.36333333,0.4,1.02028811,2.42810806,0.38526801,0,,0.22008297,1.24104118,0.01398562,-0.00420283,0.8,,,-62,98,,0,,0
1,2,CA1,267,0.21333333,0.5,-0.22765511,0.18181278,-0.74037558,0.06692913,-1.1743848,0.26227915,0.18683515,0.03595813,-0.001658,0.63333333,2.02702703,0.30685954,-72,108,,0,2,5.09109846497704
1,2,CA1,271,0.22333333,0.53333333,1.09479725,0.93106279,-0.03102103,0.01288475,-1.8899239,0.32225481,0.30609447,0.04514812,-0.00416853,0.7,0.18066847,-0.74311763,-73,109,,0,1,2.39768781334675
1,2,CA1,273,0.34333333,0.5,1.04815435,2.41807708,0.38347014,0,,0.19819894,0.69257301,0.01719017,-0.00282057,0.83333333,,,-76,112,,0,,0
1,2,CA1,279,0.35,0.4,0.48094845,1.10040628,0.04155306,0.48061538,-0.31820233,0.21010123,0.55341536,0.02423782,-0.00476038,0.73333333,36.47450111,1.56198936,-70,106,,0,2,5.71793888004685
1,2,CA1,281,0.20333333,0.23333333,1.03020287,3.75900241,0.5750726,0.00713012,-2.14690287,0.40399235,0.71492404,0.07314382,-0.00943562,0.4,0.10761946,-0.9681092,-80,116,,0,3,6.53776581327388
1,2,CA1,287,0.32333333,0.43333333,1.05772126,2.45112518,0.38936549,0,,0.17888057,0.98103189,0.01564467,-0.00288386,0.76666667,,,-87,123,,0,,0
